image_stem,title,subheadline,author,body
Elcomercio_2015-05-19_38,En la piel de Jobs,Tráiler. Se presenta el primer avance del 'biopic' de Steve Jobs. Michael Fassbender le dará vida.,NA,"El primer avance del 'biopic' sobre Steve Jobs, escrito por Aaron Sorki, se transmitió por primera vez. Así, el filme que será dirigido por Danny Boyle mostró la intención que tiene: adentrarse en la mente del hombre que manejó Apple. Aunque, claro, quizás el elemento que más llama la atención es quien lo interpretará. Michael Fassbender tiene la tarea de mostrar a Jobs en distintas fases de su vida y lo hará por ejemplo cómo se preparaba para sus eventos. Además, revivirá su historia a través de largos monólogos, con el fin de conocerlo más."
Elcomercio_2015-05-19_38,"Un premio no basta, Taylor","ARRASÓ. Taylor Swift se llevó ocho galardones en la última edición de los premios Billboard. Además, presentó nuevo video.",NA,"Taylor Swift está en la cima desde el año pasado. Los premios y sus canciones sonando casi todo el día en las radios del mundo son la prueba de ello. Es un fenómeno que no tiene fecha de caducidad. Al menos, después de llevarse ocho premios en la última edición de los premios Billboard, no hay duda de que se hablará de esta artista por bastante tiempo. En esta oportunidad se llevó los galardones (entre los más importantes) a Mejor Artista del Año, Mejor Artista Femenina, así como Mejor Artista de las listas Billboard 200 y Hot 100, Mejor Artista Digital y el de Mayor Popularidad. Además, presentó el video de la canción 'Bad Blood', que cuenta con la participación de Selena Gómez y Jessica Alba. Por su lado, Sam Smith se llevó el premio a Mejor Artista Masculino. Enrique Iglesias se llevó el de Mejor Canción Latina, mientras que Romeo Santos se hizo acreedor del título a Mejor Artista Latino. Por último, como era de esperarse, el evento, que se llevó a cabo en el MGM Grand Arena de las Vegas (Nevada), le dedicó un emotivo homenaje al ídolo del blues B.B. King."
Elcomercio_2015-05-19_38,Su real historia de amor,"DIJO SÍ. Heather Morris, actriz de 'Glee', se casó con Taylor Hubbell.",NA,"Brittany, su rol en la serie 'Glee', se casó hace poco. Pero la actriz Heather Morris también contrajo matrimonio en la vida real con el jugador de béisbol Taylor Hubbell. Según medios internacionales, la actriz de 28 años se casó con su novio y padre de su hijo de 1 año, Elijah, el sábado en el Old CanyonRanch de Topolanga, California. Se informó, además, que varios actores de la serie llegaron a la sede para celebrar con la pareja. Entre ellos: Vanessa Lengies, Naya Rivera, Kevin McHale, Jenna Ushkowitz y Grant Gustin."
Elcomercio_2016-06-03_46,La cartelera,Cines en Lima,NA,NA
Elcomercio_2016-06-03_46,Tortugas ninja 2,"[EST.] Acción | [AT.] E.E.UU., 2016. DIR.: David Green. INT.: William Fichtner, Will Arnett, Megan Fox. DUR.: 120 minutos.",NA,"Una nueva amenaza obliga a las tortugas mutantes Rafael, Michelangelo, Leonardo y Donatello a salir de su escondite. Junto a April O'Neil, Vern Fenwick y un nuevo personaje, ellos se enfrentarán al siniestro Krang."
Elcomercio_2016-06-03_46,Tini: el gran cambio de Violetta,"[EST.] Musical [14]. Argentina, 2016. DIR.: Juan Pablo Buscarini. INT.: Jorge Blanco, Martina Stoessel. DUR.: 95 minutos.",NA,"Tras volver de una gira, Violetta recibe la noticia de que su novio está con otra chica. En medio de esa crisis personal, ella acepta una invitación para visitar Italia, donde descubrirá nuevas razones para sonreír."
Elcomercio_2017-12-31_20,La calidad de la alpaca del Perú se luce en la vitrina china,"En un esfuerzo conjunto, World Link, OCEX Beijing y Prom-Perú lograron consolidar la venta de productos bajo la marca Alpaca del Perú en el mercado de lujo del país asiático.",Patricia Castro Obando,"[BEIJING.] El 2017 se cerró con la inauguración de la primera tienda en China de la marca Alpaca del Perú que ha puesto a disposición de los consumidores chinos de alto nivel adquisitivo, prendas de vestir y accesorios de alpaca, producidos en el Perú por seis empresas locales. El local situado en el emblemático centro comercial Wangfujing recibió la inversión de la empresa china World Link, la cual trabajó con OCEX Beijing y Prom-Perú para poner en vitrina china este proyecto multimarca. En una ceremonia realizada horas antes de la apertura, el histórico Hotel de Beijing, vecino de la Ciudad Prohibida y del centro comercial Wangfujing, se entregó la autorización para el uso de la marca Alpaca del Perú al grupo World Link. La primera tienda multimarca en China ofrece productos peruanos que llevan en la etiqueta el logo de marca como garantía de su autenticidad y calidad en el competitivo mercado chino. Un desfile de moda en los exteriores de la tienda con ocasión de la apertura subió a las pasarelas las marcas peruanas Anntarah, Kero Design, Kuna, Sol Alpaca, Pórtico y Sumy Kujon, seleccionadas por la firma china que lidera el proyecto de expandir Alpaca del Perú en el país asiático, a través de una red de contactos que incluye a centros comerciales, empresas importadoras, destacados diseñadores y otros referentes chinos del sector. —Largo camino— Para llegar hasta China, la alpaca ha recorrido un largo y sinuoso camino. Apenas una década atrás, el consumidor chino no conocía la fibra, y el nombre en chino de la alpaca, perdido entre un camello y una cabra, hacía referencia a estos dos animales, conocidos respectivamente como 'tuo' y 'yang'. ¿Cómo luce una alpaca ante la mirada china? Como un camello y una cabra. Quizás por esta razón, el nombre chino de la alpaca es 'yangtuo' o 'tuoyang', un palíndromo en caracteres chinos. En el 2009, la alpaca subió a la fama camuflada con el nombre de 'caballo de hierba y barro' en internet. Al principio se trataba de un supuesto animal mítico que había sido creado por los internautas chinos para protestar, a través del juego de palabras que permite la lengua china, contra la censura en la red local. La criatura de ficción se convirtió en la abanderada de la libertad. Como también fue censurada, los internautas rescataron para hacerla real, ahora con una nueva identidad. La alpaca no era un cuento chino. Desde hace dos décadas, los empresarios chinos han importado alpacas pero, debido a la inexperiencia en la crianza, los resultados nunca fueron satisfactorios. A fines del 2008, y especialmente durante el 2009, la importación de la fibra de alpaca experimentó un repunte, explica el importador An Lei. Sin embargo, problemas en el transporte y contaminación de la fibra llevaron a los indicadores a mostrar olas en lugar de picos, por exigencias en la calidad. Otras fibras naturales de alta gama, como cachemira y mohair, corren en la misma competencia con la alpaca, disputándose a los sofisticados compradores locales. China muestra fortaleza en la producción de cachemira, con el primer lugar en el mundo. Erdos, la marca china de mayor prestigio en el país, ofrece abrigos de cachemira entre US$300 y US$2.000, en su tienda oficial de Taobao. Aquí también la alpaca lleva la delantera con abrigos que pueden costar entre US$1.000 y US$3.000. Según especialistas chinos del sector, el mayor problema del mercado de la alpaca en China ha sido garantizar la calidad de la fibra. Con el fin de disminuir el costo, algunos fabricantes chinos de alpaca reemplazan o mezclan distintos tipos de fibra, lo cual repercute negativamente en la imagen y el precio del producto. Pero el consumidor chino, cada vez más informado y exigente, ahora demanda calidad por precio, y la garantía de diseños originales. —Alpaca en su pasarela— La alpaca se subió a la pasarela en el 2013 con el lanzamiento del primer desfile de moda en Beijing de la disenadora Sumy Kujon, organizado por la Embajada del Perú en China y Prom-Perú. Los desfiles -cuatro en total hasta el 2017- pusieron sobre la alfombra roja al Perú, no solo como productor de la fibra sino por la alta calidad de sus confecciones. Además de la disenadora de origen chino, han desfilado por Beijing las colecciones de Mirva Trujillo (Qaytu), Henry Vela (Velavera) y José Miguel Valdivia (JMV), entre otras marcas peruanas. El Perú fue ganando terreno en el mercado del norte de China que demanda la fibra por las bajas temperaturas del invierno. La Expo Perú del 2014 consolidó la presencia del país como garantía de calidad. Ese mismo ano, la cooperación entre Prom-Perú y Instituto Tecnológico de Moda de Beijing (BIFT) generó la firma de acuerdos que permitieron la participación de prestigiosos disenadores chinos en el Perú Moda, y las pasantías para jóvenes disenadoras peruanas a China como Silvia Paredes y Vania Tafur. “Fue en este marco en el cual hemos encauzado muchas acciones de cooperación. Ese ano, invitamos a World Link como compradora al Perú Moda, en el 2015 participó como expositora en Beijing ante una misión comercial de empresas peruanas, y al ano siguiente empezamos a conversar sobre la tienda multimarca en China”, explicó Diana Pita, consejera de comercial de OCEX Beijing."
Elcomercio_2017-12-31_20,El lanzamiento de un pabellón online,El próximo paso,NA,"El próximo paso de la marca Alpaca del Perú en China es el lanzamiento oficial de un pabellón online de productos peruanos de alpaca en Jingdong (JD.com), la principal plataforma de venta directa online (E-tailer) de China. JD cuenta con 413 millones de compradores en línea y más de 198 millones de clientes activos. La expectativa de venta para las empresas peruanas a través de este proyecto es de US$1,5 mls."
Elcomercio_2017-12-31_20,Sunat recaudó S/1.136 mlls. con amnistía tributaria,"El 30,6% correspondió a repatriación de capitales",NA,"Unas 7.766 personas se acogieron al régimen temporal para regularizar rentas no declaradas. En total se declararon S/12.860 millones, y el 30,6% correspondió a repatriación de capitales, dijo la Sunat. Aunque se esperaba recaudar aproximadamente S/2.500 millones en el 2017, solo se alcanzó S/1.136 millones."
Elcomercio_2017-12-31_20,El cobre alcanza su mayor crecimiento desde el 2010,Su valor subió 32% en el 2017,NA,"El precio del cobre anotó un crecimiento interanual de 32% este año, su mayor avance desde el 2010. Si bien la evolución del precio del metal fue volátil en el primer semestre, la segunda parte del año inició una racha alcista y en octubre superó el umbral de US$3 la libra. Se prevé que la tendencia continúe el 2018."
Elcomercio_2017-12-31_20,Trato directo entre el MTC y Kuntur Wasi se extiende un mes,Para evitar arbitraje,NA,"Representantes del Gobierno y del consorcio Kuntur Wasi acordaron ampliar por un mes el plazo de la etapa del trato directo para llegar a un acuerdo sobre el término de la concesión del aeropuerto de Chinchero. Bruno Giuffra, titular del MTC, explicó que la decisión busca evitar un arbitraje internacional."
Elcomercio_2017-12-31_20,"Bolsa de Lima anota ganancia de 28,3% durante el 2017",Sector minero avanzó 43%,NA,"El índice general de la Bolsa de Valores de Lima subió 28,3% en el 2017, apuntalado por el avance de los sectores minería, finanzas y consumo. Entre los segmentos que más ganaron destacó el sector minero, que escaló 43% impulsado por el aumento de los precios de los metales, principalmente el cobre."
Elcomercio_2021-04-21_6,"""Ir a una guerra a muerte va a ser nefasto""",Sostiene que la polarización en la segunda vuelta generará problemas en la gobernabilidad del próximo presidente y que se deben buscar consensos.,Jonathan Castro C.,"El panorama electoral se ha ido aclarando en los últimos días. El jefe de IDEA Internacional hace una evaluación de la jornada electoral y del inicio de la campaña por la segunda vuelta entre Keiko Fujimori, de Fuerza Popular, y Pedro Castillo, de Perú Libre. —¿Cómo evalúan el proceso electoral? Ha sido un reto muy grande para la ONPE organizar elecciones en medio de una pandemia, y creo que ha sido exitoso. Salvo pequeñas cosas que se pueden mejorar para la segunda vuelta, el proceso se ha desarrollado con normalidad y seguridad para los electores. —Han circulado varios videos falsos sobre irregularidades en las elecciones. ¿La respuesta de la ONPE ha sido acertada a fin de que los electores no tengan dudas en el proceso? Hay un componente técnico difícil de explicar. Quizás está faltando información sobre cómo se dan esos procedimientos. Pero no son fáciles de entender, incluso para los personeros de los partidos. Lo que sí se puede decir es que la ONPE ha ido desarrollando a lo largo de los años mecanismos de seguridad bastante complejos que hacen muy difícil que se modifiquen los resultados sin dejar rastro. —¿Cuánto daño hace que algunos candidatos den cabida a esta información dudosa? Ha habido una proliferación de 'fake news' [...] muchas absurdas. Otras podrían sembrar dudas razonables, pero con las declaraciones se desbaratan porque se han usado imágenes de procesos anteriores, información parcial, etc. Este tipo de manipulación de la información sin duda daña el proceso. —Hemos entrado a una etapa de polarización. ¿Cómo hacer para que en vez de dividir el país, las candidatas firmen compromisos democráticos con otras fuerzas políticas? Quien gane la segunda vuelta será presidente o presidenta. Pero quien pierde no va a desaparecer de la escena; va a tener un rol importante en el Congreso. Ir a una guerra a muerte en este proceso va a ser nefasto para las posibilidades de gobernabilidad de quien gane. Este debería ser un momento de competir en fair play, y ubicar los disensos para diferenciarse en ellos, pero también dónde están los puntos para hacer fuerza común con todas las fuerzas [políticas]. Por ejemplo, los temas para salir de la pandemia o recuperar el empleo perdido. Romper puentes de contacto entre las fuerzas que han pasado a la segunda vuelta puede significar para quien gane la elección costos muy grandes una vez instalado el nuevo gobierno y el nuevo Congreso. —Mario Vargas Llosa ha pedido que los peruanos voten por Fuerza Popular. ¿Qué papel puede jugar los garantes en esta segunda vuelta? Estamos en la segunda vuelta con menos porcentaje sumado entre los dos candidatos que han pasado en los últimos 40 años. El promedio de la suma de los porcentajes no baja del 40%, y esta vez juntos no han llegado a 20% del padrón electoral. No basta con que una persona apoye para que eso signifique un endose, pero un conjunto de apoyos pueden generar confianza; sobre todo si esta se ve refrendada con compromisos concretos. Hay temores específicos en relación con cada uno de los candidatos, y la mejor manera de disiparlos sería explicar muy claramente qué piensan hacer, y sobre todo no hacer, compromisos que limitarán su acción respecto a ciertos temas que vulneren derechos o libertades. —Vemos una fragmentación grande en la votación del Congreso. Eso va a dificultar los consensos para las iniciativas. ¿Existe algún mecanismo para viabilizar un diálogo ordenado? Hay dos hechos preocupantes en relación con el Congreso. Uno, la gran cantidad de grupos políticos elegidos, que son un récord de las últimas décadas. Pero además que la consistencia de cada uno de ellos es muy débil. Muchos de los elegidos no son parte orgánica de estas colectividades. Probablemente, no basta con negociar con 10 voceros, sino que quien requiera conseguir algo va a tener que negociar con un gran número de individualidades que van a tener juego propio. —¿Hay salida a esa crisis? Hay salida si se perfilan liderazgos con capacidad para articular consensos en el Congreso. El rol de los voceros va a ser fundamental porque, además de las obligaciones formales, deben tener la obligación de coordinar a sus bancadas y de garantizar que actúen de manera conjunta."
Elcomercio_2021-04-21_6,Castillo retoma gira nacional y recibe saludo de Evo Morales,El candidato de Perú Libre visitará esta semana Áncash y el norte del país.,NA,"Pedro Castillo, aspirante a la presidencia por el partido Perú Libre, retomará sus viajes por diferentes regiones en busca de votos hacia la segunda vuelta. De acuerdo con su agenda, la gira empezará el 22 de abril, con un recorrido por Áncash. Posteriormente, visitará La Libertad, Lambayeque, Piura y Tumbes. El 29 estará de regreso en Lima. Luego, del 2 al 10 de mayo, prevé viajes a Amazonas, San Martín, Ucayali y Loreto. El candidato pidió ayer a sus seguidores no viajar a Lima para reunirse con él. Dijo que personalmente irá a las distintas regiones del país para escuchar sus necesidades. Sobre una supuesta reunión de hoy con Hernando de Soto, expostulante de Avanza País, una fuente cercana a Perú Libre descartó alguna comunicación formal. No obstante, en el partido de De Soto señalaron que habrá un 'encuentro discreto'. —Tuit con foto— El presidente de Bolivia Evo Morales saludó a través de Twitter la candidatura de Castillo y le deseó éxitos: 'Expresamos respeto y admiración a Pedro Castillo de Perú que tiene un programa similar al nuestro: revolución democrática y cultural pacífica'. Morales acompañó la publicación con una foto de ambos."
Elcomercio_2021-04-21_6,Fiscalía no se opone a viajes de Keiko Fujimori por campaña,Jueza había solicitado opinión ante el pedido de la candidata de FP.,NA,"El fiscal José Domingo Pérez se pronunció ante el Poder Judicial sobre el pedido para salir de Lima de la defensa de Keiko Fujimori, luego de que la jueza María Álvarez Camacho le solicitara su opinión antes de resolver si otorgará el permiso para que la candidata presidencial de Fuerza Popular continúe con sus viajes por regiones en medio de la campaña electoral. Según conoció El Comercio, el fiscal aprobó que mañana un escrito al despacho judicial en el cual indica que se continúe con el sentido de los pronunciamientos judiciales anteriores, donde se aprobaron los pedidos de viaje de Fujimori. Fuentes de El Comercio indicaron que el fiscal no se opuso al pedido de la defensa y recordó que el juez Víctor Zúñiga Urday (actualmente con licencia) había brindado antes permisos en diferentes ocasiones. —Rechaza a Morales— Keiko Fujimori visitó ayer la zona de Cantagallo, en el Rímac. Consultada sobre el mensaje de apoyo de Evo Morales a Castillo, Fujimori respondió al mandatario boliviano: 'Yo le diré bien claramente al señor Evo Morales: ¡Usted no se meta en mi país! ¡No se meta en el Perú! ¡Fuera del Perú, Evo Morales! Nosotros, los peruanos, no vamos a aceptar su ideología'"
Elcomercio_2021-10-06_1,"""Productos de Facebook causan daños a los niños y fomentan divisiones""",Testimonio. Exempleada de la compañía dijo ante el Senado de EE.UU. que los directivos están al tanto pero no hacen cambios.,NA,NA
Elcomercio_2021-10-06_1,Más contradicciones en el Ejecutivo por cuestión de confianza,Censura: En el Congreso sigue recojo de firmas contra titular de Trabajo,NA,"Poca sintonía. Ministro de Justicia niega que se vaya a usar el mecanismo por Maraví, pero Bellido y Boluarte replican que es solo su opinión. Clave. Torres adelanta que Castillo observará ley que regula esta figura, mientras bancadas de oposición piden que el mandatario la promulgue."
Elcomercio_2021-10-06_1,Resolución que ratifica a Julio Velarde al frente del BCR espera desde el viernes,Permanece en despacho del jefe del Estado. ,NA,Insólito. Extitulares de la PCM expresan sorpresa por cómo Guido Bellido daña la figura de Castillo al señalar que este demora el trámite.
Elcomercio_2021-10-06_1,Investigan a jefe de junta de fiscales por favorecer a mafia de terrenos,Corrupción en Lurín,NA,Pesquisas. Aspirante a colaborador eficaz y testigos afirman que Ricardo Rojas y otros dos magistrados cobran sobornos para archivar procesos.
Elcomercio_2021-10-06_1,Comisión creada a pedido de la Iglesia devela 330 mil casos de abuso sexual,Estupor en Francia,NA,Informe. Indagación ha permitido identificar a unos tres mil sacerdotes pederastas que actuaron desde 1950. El papa Francisco expresa su dolor.
Elcomercio_2021-10-06_1,Central y Maido en el top ten del mundo,"Orgullo. El local de Virgilio Martínez y Pía León ocupa el puesto 4 en lista global; y el de Mitsuharu 'Micha' Tsumura, el 7.",NA,La edición de los 50 Mejores Restaurantes del Mundo se realizó en Amberes (Bélgica). Allí también se entregó la distinción a León como mejor chef femenina.
Elcomercio_2021-10-06_1,No existe un registro oficial sobre reuniones del presidente en inmueble de Breña,NA,NA,NA
Elcomercio_2021-10-06_1,Incertidumbre política afecta adjudicación de 20 proyectos por US$6.300 millones,NA,NA,NA
Elcomercio_2021-10-06_1,"La primera como tragedia; la segunda, ¿como farsa?",NA,"Carlos Basombrío, Analista político y experto en temas de seguridad",NA
Elcomercio_2021-10-06_1,Mujer y reactivación económica,NA,"Norma Correa, Profesora e investigadora de la PUCP",NA
Elcomercio_2021-10-06_1,No es cosa de machos,NA,"Fernando Vivas, Periodista",NA
Elcomercio_2023-11-30_1,"Muere a los 100 años el ex secretario de Estado de EE.UU. Henry Kissinger, pieza clave del mundo en el siglo XX",Mundo,NA,NA
Elcomercio_2023-11-30_1,"Con un brillante Bellingham, Real Madrid vence 4-2 a Napoli y lidera su grupo en la Champions",DT,NA,NA
Elcomercio_2023-11-30_1,Hallan documentos sobre Marita Barreto en oficina de un asesor de Benavides,"Irregular: Papeles son del área de control, que debe ser autónoma",NA,"Los destruyeron. El equipo especial encontró un escrito de la autoridad de control de la fiscalía y un borrador del cese de la magistrada. Ambos estaban rotos y tirados en un tacho de basura. Pruebas. Descubrimiento ocurrió el lunes durante la operación Valkiria V en la Fiscalía de la Nación. Daniel Jara rechazó aceptar la coordinación del Eficcop, tras críticas de sus miembros."
Elcomercio_2023-11-30_1,El Congreso postergó otra vez la votación y recién hoy verá el presupuesto,Hoy es el último día que tiene el Parlamento para aprobar los fondos públicos para el 2024.,Jorge Cerdán,NA
Elcomercio_2023-11-30_1,"Presidente del TC afirma que su resolución ""despeja el camino"" para que Alberto Fujimori sea liberado",Decisión. Francisco Morales aseguró que el expresidente debe ser excarcelado y que no se han pronunciado sobre disposiciones de la Corte IDH. El Ejecutivo precisó que respeta todos los fallos de órganos jurisdiccionales.,NA,NA
Elcomercio_2023-11-30_1,Hamas reporta que hija y nietos de peruana murieron en la franja de Gaza,Tragedia sin fin,NA,Víctimas. Grupo extremista dice que Shiri Bibas y sus niños fallecieron por bombardeos de Israel. El país hebreo lo duda.
Elcomercio_2023-11-30_1,Este año se han percibido 680 sismos con magnitud inferior a 6,Estadísticas del IGP,NA,"Por regiones. Arequipa encabeza la lista con 226 temblores. Le siguen Lima (65), Ucayali (40) y Tacna (37). Cada día se sienten dos, en promedio, en el país."
Elcomercio_2024-02-24_9,Mafia realizaba tres modalidades ilícitas de trámites migratorios,Presunta red liderada por exjefa de Migraciones de Huancayo emitía pasaportes irregulares y permitía el ingreso ilegal de extranjeros.,José Cayetano,"La División de Investigaciones de Delitos de Alta Complejidad de la Policía Nacional (Diviac) y la fiscalía allanaron este viernes seis inmuebles y la oficina zonal de Migraciones de Huancayo, vinculados a la presunta organización criminal Los Diamantes Azules. Este grupo es investigado por los delitos de tráfico de influencias, tráfico ilícito de migrantes, peculado y organización criminal. La cabecilla de la organización criminal sería la exjefa zonal de Migraciones de Huancayo Katherine Sharelly Rafael Riveros, la 'Reina', quien se habría aprovechado del cargo que asumió en la entidad desde el 2019. Ella habría cometido diferentes delitos en colaboración con otras seis personas. Los agentes de la Diviac incautaron S/14.250 en efectivo en la casa de Rafael. —Modus operandi— De acuerdo con las indagaciones, Los Diamantes Azules habrían entregado de forma irregular carnets de extranjería y de permiso temporal de permanencia. Asimismo, habrían emitido pasaportes diplomáticos y ordinarios en favor de propietarios de clínicas, empresarios, funcionarios y personas de su entorno social. Según la Fiscalía Anticorrupción de Junín, uno de los beneficiados habría sido Vladimir Cerrón, exgobernador de dicha región, quien permanece prófugo de la justicia desde octubre del 2023. Además, Katherine Rafael tendría como intermediario al ciudadano venezolano Amílcar Marcano Morillo, 'Chamo'. Marcano sería el encargado de favorecer a sus compatriotas cercanos, ayudándolos con los trámites y la emisión irregular de documentos migratorios. El coronel PNP Harvey Colchado, jefe de la Diviac, informó que investigarán la emisión de 800 documentos migratorios de peruanos y extranjeros durante la gestión de Rafael en la oficina zonal de Migraciones de Huancayo. La segunda actividad ilícita de Los Diamantes Azules habría sido facilitar el ingreso ilegal de ciudadanos extranjeros a través de la frontera con Ecuador en complicidad con el ciudadano cubano Yassers Zulueta Galarra. 'La otra modalidad era facilitar la regularización de la calidad migratoria de los ciudadanos extranjeros en Huancayo. Cuando hacían operativos, también les avisaban para que no salieran y no sean intervenidos por la policía', detalló Colchado. Los trámites irregulares estarían a cargo de trabajadores de la oficina zonal de Migraciones, gente de confianza de Katherine Rafael. Adicionalmente, la Diviac identificó a tres funcionarias de la oficina de Migraciones de Huancayo, quienes serían las tramitadoras de documentos migratorios irregulares: Magaly Gómez Carbajal, 'Magaly'; Ruty Rudas Tinoco, 'Elva'; y Lita Huamán Cóndor, 'Mili'. Más detalles: El coronel PNP Harvey Colchado declaró que la presunta red criminal entregaba pasaportes irregulares 'hasta en un día'. Al cierre de esta edición, no había citas disponibles para obtener el pasaporte electrónico en la sede de Migraciones de Huancayo. Luego del allanamiento, Migraciones informó que Katherine Rafael Riveros fue separada de su cargo como jefa zonal de la entidad en Huancayo. Rafael desempeñaba esta labor desde fines del 2019."
Elcomercio_2024-02-24_9,"Rutas de Lima, obras que trascienden",Inversión 100% privada,NA,"Más de 60 obras construidas en los tramos concesionados de la Panamericana Norte y Panamericana Sur. 2,200 millones de soles invertidos en infraestructura vial. 2.6 millones de metros cuadrados pavimentados. 15 nuevos intercambios viales. 16 nuevos puentes (peatonales y vehiculares). 81 puentes peatonales rehabilitados. 32 nuevos paraderos. 1 nuevo túnel de alta tecnología (Benavides)."
Elcomercio_2024-05-12_1,La 'U' recibe a Cristal (6:30 p.m.) en el partido que podría decidir el título del Apertura,DT,NA,NA
Elcomercio_2024-05-12_1,Una mujer sin miedo llamada Doris Mary Letts,NA,Jaime Bayly,NA
Elcomercio_2024-05-12_1,Por un puñado de soles: los usos indebidos de la caja chica,NA,Ricardo Uceda,NA
Elcomercio_2024-05-12_1,El plan de Trump para deportar a los inmigrantes,NA,Andrés Oppenheimer,NA
Elcomercio_2024-05-12_1,"En cuatro años, 1,8 millones de peruanos dejaron la clase media","En Lima, el empleo adecuado pasó de 69% en el 2019 a 62% en el 2023",NA,"Estancamiento. Según informe IPE, la recuperación de este sector a sus niveles prepandemia tomaría una década si la economía peruana crece a tasas inferiores al 5%. Perfil. Una persona de clase media en nuestro país registra un ingreso mensual de entre S/980 (más de dos veces el costo de la canasta básica de consumo) y S/5.700."
Elcomercio_2024-05-12_1,Dina Boluarte intentó influir para que se archive la investigación a su hermano,Unidad de Investigación,NA,NA
Elcomercio_2024-05-12_1,Ocho de cada 10 mujeres que dan a luz en nuestro país son solteras,Radiografía de la madre peruana,NA,NA
Elcomercio_2024-05-12_1,"""En el Perú no hubo milagro económico, sino un período de reformas estructurales""",Entrevista a Alonso Segura,NA,NA
Elcomercio_2024-05-12_1,Da Vinci y su representación de la maternidad,El Dominical,NA,NA
Elcomercio_2024-05-12_1,Rehabilitan dos campamentos de la red de caminos inca,¡Buenas noticias!,NA,"Los campamentos 16 y 17 del sector Wiñaywayna hacia Machu Picchu, en Cusco, ya están habilitados y completamente disponibles para turistas."
Elcomercio_2025-11-02_1,Marines de EE.UU. practican maniobras de desembarco en el Caribe,Mundo,NA,NA
Elcomercio_2025-11-02_1,Hoy se cierra en Acho la Feria del Señor de los Milagros,Toros,NA,NA
Elcomercio_2025-11-02_1,"Decálogo de adolescentes y niños llega con ¡Vota por Mí!, la campaña impulsada por este Diario y Unicef",Elecciones,NA,NA
Elcomercio_2025-11-02_1,Al menos ochenta congresistas irán a la reelección en el 2026,El panorama a cinco meses para los comicios,NA,"Cifras preliminares. Las listas para las votaciones primarias muestran a los parlamentarios que participarán en la próxima campaña electoral. Todavía faltan definiciones por disputas partidarias. Cierre. El Comercio revisó las listas con los congresistas incorporados y consultó con los partidos, ya que algunos ocuparán cupos como invitados. La cifra definitiva se revelará tras la inscripción en diciembre."
Elcomercio_2025-11-02_1,El Señor de los Milagros hizo su último recorrido del año,Tradición intacta,NA,Miles de devotos acompañaron al Cristo de Pachacamilla en su ruta por las calles del Centro de Lima hasta su retorno a la iglesia de Las Nazarenas.
Elcomercio_2025-11-02_1,Menos de la mitad de alcaldes cuentan con proyectos para seguridad,En Lima Metropolitana,NA,Presupuesto. Solo 19 distritos limeños han invertido este año en iniciativas para combatir la delincuencia.
Elcomercio_2025-11-02_1,La Municipalidad de Lima busca centralizar las 5.000 cámaras de la capital,Control unificado,NA,NA
